cvr,oc_lat,oc_lng
74618014,56.15533,10.163499
37041718,56.128846,10.161043
34495734,56.170398,10.218452
38245961,56.186818,10.124745
12686919,56.262685,10.302468
25062671,56.107328,10.205988
31396670,56.194185,10.195239
20700211,56.152816,10.205422
38410490,56.197485,10.212909
29501629,56.156458,10.164773
12669232,56.067964,10.163931
36141611,56.140755,10.187111
26959268,56.15381,10.207602
42224456,56.090338,10.137864
10031648,56.045276,10.086458
82313028,56.183516,10.203908
48049028,56.042622,10.19331
27487165,56.15918,10.141491
30250753,56.189283,10.220063
34672881,56.163796,10.207219
70201518,56.150377,10.19697
20566442,56.186353,10.123006
23157810,56.157356,10.209258
39383446,56.1747,10.204057
43254073,56.121731,10.17552
38590030,56.1559066,10.2083063
12455488,56.146254,10.203386
18971348,56.156,10.210101
67667212,56.1581094,10.2132985
31655382,56.172454,10.211555
43315617,56.15337,10.202929
34395675,56.18911,10.238028
17391046,56.145489,10.205266
26778743,56.199267999999996,10.255301
26524180,56.150204,10.202826
20854537,56.191143,10.216879
25050088,56.142587,10.202947
26216656,56.152331,10.203941
16019976,56.056958,10.204988
10175534,56.208899,10.274727
33978081,56.232035,10.231079
18064936,56.208899,10.274727
20948485,56.155614,10.205992
27461085,56.153634,10.103988
37681571,56.160248,10.208928
34274622,56.128846,10.161043
29078688,56.152043,10.205892
16595772,56.150608,10.202846
30408705,56.233882,10.22828
43281046,56.155042,10.161959
35502017,56.17042,10.215817
43902644,56.152595,10.204079
38672797,56.151298,10.203432
39377365,56.15285,10.204195
15266988,56.152816,10.205422
39254972,56.140755,10.187111
80199228,56.148055,10.002005
28608640,56.15088,10.204442
37981958,56.180764,10.202303
36336331,56.15457,10.204719
29859531,56.128846,10.161043
38190660,56.15457,10.204719
28613806,56.157356,10.209258
20844140,56.170398,10.218452
37303178,56.121731,10.17552
16773778,56.145219,10.182144
43319825,56.140755,10.187111
27035701,56.15457,10.204719
28599803,56.138186,10.18975
30977971,56.160669,10.209112
35427252,56.152595,10.204079
18759837,56.157356,10.209258
34936145,56.151298,10.203432
14369279,56.1465327,10.2050873
17595679,56.140755,10.187111
26778875,56.171377,10.183802
27489079,56.238732,10.234822
38541927,56.160669,10.209112
31741025,56.15285,10.204195
20541997,56.108906,10.077317
33327609,56.155264,10.134907
38261983,56.197485,10.212909
31103908,56.112392,10.149997
34258376,56.152283,10.188023
31841054,56.172454,10.211555
36208295,56.11951,10.156373
80224516,56.149735,10.197459
35323384,56.171099,10.177305
32862802,56.117445,10.19056
32489931,56.245905,10.265621
33824467,56.170631,10.160652
42874841,56.146275,10.204381
37804266,56.117524,10.173638
10405033,56.157192,10.208629
43390902,56.117455,10.198813
14235841,56.155042,10.161959
21373133,56.157192,10.208629
17770349,56.253036,10.141288
42107670,56.110061,10.218879
38768204,56.191143,10.216879
36448288,56.15457,10.204719
34857199,56.151535,10.203557
